Symbol,Date,Open,High,Low,Close,Volume
PSO,01-Jan-2003,213.50,215.10,207.00,208.00,29005800
PSO,02-Jan-2003,208.00,217.00,208.00,215.65,48945500
PSO,03-Jan-2003,218.00,219.50,215.75,219.40,32286100
PSO,06-Jan-2003,219.00,226.25,216.90,225.30,51049100
PSO,07-Jan-2003,227.00,232.95,226.05,228.95,53225400
PSO,08-Jan-2003,230.00,231.70,226.10,229.40,37662800
PSO,09-Jan-2003,229.25,233.00,228.70,232.00,34102700
PSO,10-Jan-2003,236.00,237.50,234.60,235.55,26631000
PSO,13-Jan-2003,236.50,236.70,232.50,232.70,13676800
PSO,14-Jan-2003,232.00,237.10,231.00,235.00,29176900
PSO,15-Jan-2003,236.10,240.00,235.80,239.50,23492100
PSO,16-Jan-2003,238.50,240.10,236.50,237.40,19232900
PSO,17-Jan-2003,240.05,241.50,237.50,238.00,20834600
PSO,20-Jan-2003,237.40,242.00,237.00,238.85,16310300
PSO,21-Jan-2003,239.90,240.00,226.95,226.95,23297500
PSO,22-Jan-2003,225.50,227.70,215.65,217.50,29795900
PSO,23-Jan-2003,219.90,221.40,206.65,206.65,22969400
PSO,27-Jan-2003,202.00,212.25,201.00,212.25,30712200
PSO,28-Jan-2003,212.95,212.95,201.65,201.65,19432400
PSO,29-Jan-2003,198.15,201.65,191.60,194.65,20682200
PSO,30-Jan-2003,198.00,204.40,198.00,201.00,30916400
PSO,31-Jan-2003,203.00,203.45,190.95,190.95,18155900
PSO,03-Feb-2003,189.00,191.00,181.45,182.70,10762800
PSO,05-Feb-2003,180.75,186.90,176.50,183.95,24178300
PSO,06-Feb-2003,184.10,185.35,178.80,183.50,11942400
PSO,07-Feb-2003,184.90,186.60,182.50,183.60,13124700
PSO,10-Feb-2003,181.75,181.75,175.55,178.25,7610800
PSO,17-Feb-2003,182.00,191.60,181.05,191.60,14688700
PSO,18-Feb-2003,193.50,202.80,191.05,191.75,28923700
PSO,19-Feb-2003,195.75,197.50,182.65,184.00,22426400
PSO,20-Feb-2003,182.00,187.70,178.15,187.50,21861700
PSO,21-Feb-2003,190.10,191.90,186.10,189.50,21223200
PSO,24-Feb-2003,189.50,189.50,185.00,185.80,8533800
PSO,25-Feb-2003,184.50,184.90,179.10,179.30,10458500
PSO,26-Feb-2003,181.00,183.00,174.00,177.50,13037000
PSO,27-Feb-2003,176.50,177.00,172.90,174.80,11316200
PSO,28-Feb-2003,175.25,182.00,173.00,180.80,15186600
PSO,03-Mar-2003,183.00,194.35,182.50,194.35,10620500
PSO,04-Mar-2003,199.95,202.00,187.35,189.00,21707900
PSO,05-Mar-2003,190.10,197.00,186.70,196.25,22092500
PSO,06-Mar-2003,198.00,200.35,195.50,196.25,17618300
PSO,07-Mar-2003,195.00,195.00,189.20,190.50,11137400
PSO,10-Mar-2003,187.05,202.00,183.10,201.65,29152500
PSO,12-Mar-2003,196.50,204.40,196.25,202.40,24704800
PSO,17-Mar-2003,197.00,197.90,192.70,192.70,13202100
PSO,18-Mar-2003,190.00,197.75,189.75,197.15,14535800
PSO,19-Mar-2003,196.50,197.70,193.10,193.60,8181200
PSO,20-Mar-2003,192.00,200.90,192.00,200.50,12452800
